biosample_id original_sample_name
28966 ST1_1085_3_BM
28967 ST1_1327_1_BM
28968 ST1_1700_1_BM
28969 ST1_1700_2_BM
28970 ST1_1739_1_BM
28971 ST1_1739_2_BM
28972 ST1_1774_1_BM
28973 ST1_1814_1_BM
28974 ST1_1823_1_BM
28975 ST1_1832_1_BM
28976 ST1_1841_1_BM
28977 ST1_2080_1_BM
28978 ST1_2190_1_BM
28979 ST1_2250_1_BM
28980 ST1_2333_1_BM
28981 ST1_2511_1_BM
28982 ST1_1048_1_BM
28983 ST1_1086_1_BM
28984 ST1_1110_2_BM
28985 ST1_1110_3_BM
28986 ST1_1143_2_BM
28987 ST1_1155_1_BM
28988 ST1_1155_2_BM
28989 ST1_1195_1_BM
28990 ST1_1269_1_BM
28991 ST1_1269_3_BM
28992 ST1_1270_1_BM
28993 ST1_1356_1_BM
28994 ST1_1445_1_BM
28995 ST1_1496_1_BM
28996 ST1_1496_2_BM
28997 ST1_1496_3_BM
28998 ST1_1511_1_BM
28999 ST1_1624_1_BM
29000 ST1_1667_1_BM
29001 ST1_1668_1_BM
29002 ST1_1760_1_BM
29003 ST1_1783_1_BM
29004 ST1_1783_2_BM
29005 ST1_1784_1_BM
29006 ST1_1839_1_BM
29007 ST1_1851_1_BM
29008 ST1_1876_1_BM
29009 ST1_1889_2_BM
29010 ST1_1889_3_BM
29011 ST1_1891_1_BM
29012 ST1_1893_1_BM
29013 ST1_1900_1_BM
29014 ST1_1911_1_BM
29015 ST1_1953_1_BM
29016 ST1_1955_1_BM
29017 ST1_1974_1_BM
29018 ST1_1982_1_BM
29019 ST1_1986_1_BM
29020 ST1_1999_1_BM
29021 ST1_2014_1_BM
29022 ST1_2043_1_BM
29023 ST1_2063_1_BM
29024 ST1_2101_1_BM
29025 ST1_2124_1_BM
29026 ST1_2198_1_BM
29027 ST1_2198_2_BM
29028 ST1_2226_1_BM
29029 ST1_2270_1_BM
29030 ST1_2271_1_BM
29031 ST1_2272_1_BM
29032 ST1_2449_1_BM
29033 ST1_2446_1_BM
29034 ST1_2514_1_BM
29035 ST1_2531_1_BM
29036 ST1_2531_2_BM
29037 ST1_2541_1_BM
29038 ST1_2592_1_BM
29039 ST1_2611_1_BM
29040 ST1_2621_1_BM
29041 ST1_1073_1_BM
29042 ST1_1092_1_BM
29043 ST1_1153_1_BM
29044 ST1_1153_4_BM
29045 ST1_1171_1_BM
29046 ST1_1185_1_BM
29047 ST1_1185_2_BM
29048 ST1_1251_1_BM
29049 ST1_1284_1_BM
29050 ST1_1323_1_BM
29051 ST1_1328_1_BM
29052 ST1_1447_1_BM
29053 ST1_1506_1_BM
29054 ST1_1522_1_BM
29055 ST1_1534_1_BM
29056 ST1_1534_5_BM
29057 ST1_1539_1_BM
29058 ST1_1539_2_BM
29059 ST1_1543_1_BM
29060 ST1_1546_1_BM
29061 ST1_1572_1_BM
29062 ST1_1595_1_BM
29063 ST1_1602_1_BM
